Speed,Actual,Predicted
0.0,0.0,247.78029
0.0,0.0,475.96436
0.0,0.0,702.48126
0.0,0.0,932.9161
0.0,0.0,1165.7443
0.0,0.0,1397.6593
0.0,0.0,1626.5178
0.0,0.0,1852.0702
0.0,0.0,2075.4897
0.0,0.0,2298.4583
0.0,0.0,2522.5208
0.0,0.0,2748.6746
0.0,0.0,2977.2344
0.0,0.0,3207.8003
0.0,0.0,3439.2368
0.0,0.0,3669.7893
0.0,0.0,3897.0852
0.0,0.0,4118.2383
0.0,0.0,4330.1587
0.0,0.0,4530.187
0.0,0.0,4717.2256
0.0,0.0,4893.2954
0.0,0.0,5065.44
0.0,0.0,5246.969
0.0,43.26544118,5445.528
0.0,488.2805147,5745.8003
0.0,1662.4501839999998,6187.3813
0.0,3278.359007,6711.1694
0.0,4633.737132,7254.3633
0.0,5822.9625,7771.6816
0.0,6841.637868,8259.542
0.0,7884.108824,8731.113
0.0,8781.567096,9195.081
0.0,9683.277941,9660.9375
0.0,10582.53971,10160.468
0.0,11604.92096,10758.1455
0.0,12922.2489,11449.761
0.0,14026.03051,12196.508
1.629136029,15182.61967,12958.272
5.593014706,16302.07574,13697.819
7.062683824,17236.17188,14384.863
7.827481618,18200.74724,14982.83
8.223529412,18688.62537,15545.306
9.620220588,19415.40625,16224.636
11.51654412,20493.29026,17062.666
12.83235294,21690.81563,18012.592
13.54347426,23171.54449,18980.924
13.64264706,24388.73254,19891.062
13.53152574,25483.36893,20727.115
13.27058824,26478.97794,21516.166
13.27665441,27713.63658,22316.148
13.34558824,28848.21581,23161.594
13.375,29977.62537,24050.082
13.49944853,31157.43658,24957.973
13.41470588,32382.48989,25755.307
12.26994485,33049.17243,26308.068
10.17389706,33398.09559,26654.201
7.503308824,33909.06563,26911.84
5.598805147,34583.52243,27168.703
3.999816176,35243.91857,27458.459
1.167279412,35876.11379,27783.398
0.030882353,36485.20515,28129.615
0.0,37056.71691,28471.521
0.0,37579.9807,28800.314
0.0,38027.02518,29115.736
0.0,38409.44761,29419.705
0.0,38819.13787,29719.664
0.0,39243.47114,30019.504
