Time,Engine speed,Throttle position,Accelerator pedal position,Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
2000,1910.25,7.33,0.0,42,1169.5,2059.392,645.8945999999999,535.25
3000,1839.25,6.859,0.0,41,1202.5,2579.866,520.4740000000002,33.0
4000,1771.75,6.291,0.0,39,1202.5,3017.7166,437.8506000000002,0.0
5000,1701.25,6.604,0.0,37,1202.5,3438.5188,420.80219999999963,0.0
6000,1637.5,4.98,3.653,35,1202.5,3903.4424,464.9236000000001,0.0
7000,1536.0,4.932,18.24,33,1804.75,4478.1436,574.7012000000004,602.25
8000,1518.75,32.793,55.365,33,2672.0,5246.303,768.1593999999996,867.25
9000,1640.0,61.977,40.402,36,4311.25,6255.62,1009.317,1639.25
10000,1804.5,32.826,25.031,39,6568.75,7468.547,1212.9269999999997,2257.5
11000,1898.75,12.09,23.495,42,8272.75,8783.023,1314.4759999999997,1704.0
12000,1952.25,13.463,26.117,43,9311.25,10100.481,1317.4580000000005,1038.5
13000,2022.75,13.891,22.61,45,10593.0,11356.6,1256.1190000000006,1281.75
14000,2081.25,10.0,16.504,46,11833.25,12504.985,1148.3850000000002,1240.25
15000,2099.25,9.365,13.025,46,12746.0,13533.027,1028.0419999999995,912.75
16000,2109.25,9.35,13.025,47,13547.75,14454.747,921.7199999999993,801.75
17000,2111.75,8.324,9.387,47,14359.0,15284.439,829.6920000000009,811.25
18000,2134.75,6.316,0.0,46,14950.25,16038.05,753.610999999999,591.25
19000,2063.5,5.873,0.0,45,15014.25,16738.076,700.0260000000017,64.0
20000,1953.75,5.09,11.74,45,15207.5,17448.135,710.0589999999975,193.25
21000,2020.75,6.641,12.259,45,15795.25,18241.852,793.7170000000006,587.75
22000,2031.0,8.748,24.399,45,16440.25,19138.791,896.9390000000021,645.0
23000,2073.0,12.344,24.399,46,17324.5,20144.098,1005.3070000000007,884.25
24000,2127.25,13.549,23.84,47,18426.5,21235.762,1091.663999999997,1102.0
25000,2182.5,10.553,18.393,48,19581.75,22373.389,1137.6270000000004,1155.25
26000,2231.5,10.607,17.844,49,20566.0,23508.273,1134.8840000000018,984.25
27000,2272.75,10.848,12.442,50,21440.25,24594.215,1085.941999999999,874.25
28000,2254.0,10.051,12.326,50,22359.5,25608.299,1014.0839999999989,919.25
29000,2279.5,10.467,13.828,50,23259.0,26566.629,958.3300000000017,899.5
30000,2279.25,9.082,10.052,50,24090.0,27480.506,913.8770000000004,831.0
31000,2289.0,9.051,6.873,50,24826.25,28356.959,876.4529999999977,736.25
32000,2274.25,8.742,6.873,50,25505.0,29193.303,836.344000000001,678.75
33000,2227.75,8.83,0.0,50,26125.75,29997.09,803.7870000000003,620.75
34000,2260.25,7.961,15.32,48,26267.5,30798.205,801.1150000000016,141.75
35000,2201.75,10.922,20.197,48,27157.5,31620.494,822.288999999997,890.0
36000,2217.25,12.164,20.49,49,28075.0,32488.523,868.0290000000023,917.5
37000,2226.75,9.832,13.977,49,29093.25,33397.285,908.7620000000024,1018.25
38000,2235.5,10.352,13.977,49,29962.75,34338.87,941.5849999999991,869.5
39000,2247.0,10.561,14.05,50,30816.0,35300.156,961.2860000000001,853.25
40000,2249.25,11.139,15.469,50,31722.25,36265.88,965.7239999999947,906.25
41000,2270.0,10.309,11.81,50,32780.0,37229.2,963.3199999999997,1057.75
42000,2270.5,8.83,8.984,50,33494.5,38176.934,947.734000000004,714.5
43000,2265.75,9.008,8.557,50,34207.75,39093.6,916.6659999999974,713.25
44000,2263.25,8.807,8.057,50,34978.0,39955.71,862.1100000000006,770.25
45000,2253.5,8.748,5.692,50,35618.0,40730.555,774.8450000000012,640.0
46000,2232.5,8.16,0.0,49,36124.75,41393.375,662.8199999999997,506.75
47000,2144.5,8.031,0.0,48,36145.25,41954.2,560.8249999999971,20.5
48000,2077.75,7.68,0.0,46,36145.25,42481.105,526.9050000000061,0.0
49000,2008.25,5.762,8.475,44,36145.25,43076.758,595.6529999999984,0.0
50000,2047.5,7.547,20.065,44,36729.5,43838.01,761.2520000000004,584.25
51000,2020.75,18.33,38.092,45,37396.25,44803.535,965.5250000000015,666.75
52000,2157.0,14.551,26.16,47,39324.75,45968.883,1165.3479999999981,1928.5
53000,2247.75,11.879,15.97,49,40732.25,47233.434,1264.5509999999995,1407.5
54000,2281.5,9.619,16.241,50,41757.25,48479.965,1246.5309999999954,1025.0
55000,2302.5,8.635,11.71,51,42624.0,49635.816,1155.8510000000024,866.75
56000,2308.25,8.482,11.658,51,43351.75,50685.082,1049.2660000000033,727.75
57000,2316.0,9.094,17.831,51,43968.5,51661.496,976.413999999997,616.75
