Time,Engine speed,Throttle position,Accelerator pedal position,Speed,Trip fuel consumption
0,0,8.653672162,0,0,0
0.8,0,8.658339557,0,0,0
1.6,0,8.649794635,0,0,0
2.4,0,8.646814683,0,0,0
3.2,0,8.650440889,0,0,0
4,0,8.652487362,0,0,0
4.8,0,8.652882295,0,0,0
5.6,0,8.649651023,0,0,0
6.4,0,8.652020623,0,0,0
7.2,0,8.642685834,0,0,0
8,0,8.644265568,0,0,0
8.8,0,8.639957204,0,0,0
9.6,0,8.645163143,0,0,0
10.4,0,8.647460938,0,0,0
11.2,0,8.64275764,0,0,0
12,0,8.648358513,0,0,0
12.8,0,8.645629883,0,0,0
13.6,0,8.645414465,0,0,0
14.4,0,8.642865349,0,0,0
15.2,0,8.642362707,0,0,0
16,0,8.64914838,0,0,0
16.8,0,8.64760455,0,0,0
17.7,0,8.642649931,0,0,0
18.4,0,8.651266659,0,0,0
19.2,212.6270161,3.303904814,0,0,43.26544118
20,1252.886765,9.692203297,0,0,488.2805147
20.8,1811.730882,14.34222053,0,0,1662.450184
21.6,1669.055882,14.24564137,0,0,3278.359007
22.4,1587.783824,13.19048713,0,0,4633.737132
23.3,1443.060294,12.00680003,0,0,5822.9625
24.1,1381.675,11.76068474,0,0,6841.637868
24.8,1378.507353,11.61111271,0,0,7884.108824
25.6,1359.597059,11.6583252,0,0,8781.567096
26.4,1326.548529,12.44535558,0,0,9683.277941
27.2,1160.154412,17.31509938,0,0,10582.53971
28,1258.108824,24.15326287,0,0,11604.92096
28.8,1270.945588,24.84055463,0,0,12922.2489
29.6,1293.769118,25.03827263,0,0,14026.03051
30.4,1270.717647,24.26366469,0,1.629136029,15182.61967
31.2,1219.308824,22.7307847,0,5.593014706,16302.07574
32,1202.858824,21.24106014,0,7.062683824,17236.17188
32.7,1294.447059,12.37250833,4.158002068,7.827481618,18200.74724
33.5,1314.164706,11.07658835,12.53719554,8.223529412,18688.62537
34.3,1617.879412,15.71181353,16.73239315,9.620220588,19415.40625
35.1,1795.076471,17.14337517,15.12088551,11.51654412,20493.29026
35.9,1885.25,19.02835622,14.73869773,12.83235294,21690.81563
36.7,1919.719118,16.76161822,12.54688936,13.54347426,23171.54449
37.6,1902.298529,15.99264706,12.29506549,13.64264706,24388.73254
38.3,1862.804412,14.80174345,12.23754883,13.53152574,25483.36893
39.2,1855.433824,14.38218061,13.05696375,13.27058824,26478.97794
40,1869.982353,15.5054429,14.93907255,13.27665441,27713.63658
40.8,1879.395588,15.72506175,14.99773811,13.34558824,28848.21581
41.6,1878.564706,15.68154728,15.16486673,13.375,29977.62537
42.4,1888.588235,15.42028091,14.46048512,13.49944853,31157.43658
43.2,1781.708824,11.95754107,3.733089671,13.41470588,32382.48989
44,1561.207353,7.679551068,0,12.26994485,33049.17243
44.8,1269.022059,7.370605469,0,10.17389706,33398.09559
45.6,1104.791176,7.303610409,0,7.503308824,33909.06563
46.4,1008.442647,8.17802878,0,5.598805147,34583.52243
47.2,956.5264706,8.29356474,0,3.999816176,35243.91857
48,937.5441176,8.955975701,0,1.167279412,35876.11379
48.7,945.7955882,8.499684053,0,0.030882353,36485.20515
49.5,908.2308824,7.253489775,0,0,37056.71691
50.3,924.1117647,7.096162684,0,0,37579.9807
51.1,987.8514706,6.298899931,0,0,38027.02518
51.9,981.9808824,6.418636546,0,0,38409.44761
52.7,988.3573529,6.413861443,0,0,38819.13787
53.4,982.5705882,6.388693417,0,0,39243.47114
54.2,986.3,6.395981733,0,0,39662.53125
55,985.85,6.415728401,0,0,40058.21691
55.8,982.3147059,6.437844669,0,0,40486.48732
56.6,1002.092647,6.467751896,0,0,40895.85386
57.3,999.4764706,6.468828987,0,0,41358.48989
58.1,1007.585294,6.467787799,0,0,41767.24945
58.9,1003.277941,6.473855411,0,0,42197.1193
59.7,1006.758824,6.488288431,0,0,42628.83952
