Time,Speed,Accelerator pedal position,Throttle position,FC_avg_rate,Engine speed,Trip fuel consumption,slope
1,0.0,0.0,8.654542096,0.0,0.0,0.0,0
2,0.0,0.0,8.654650123,0.0,0.0,0.0,0
3,0.0,0.0,8.648168513,0.0,0.0,0.0,0
4,0.0,0.0,8.651409318,0.0,0.0,0.0,0
5,0.0,0.0,8.653677881,0.0,0.0,0.0,0
6,0.0,0.0,8.654136995,0.0,0.0,0.0,0
7,0.0,0.0,8.649491842,0.0,0.0,0.0,0
8,0.0,0.0,8.642335065,0.0,0.0,0.0,0
9,0.0,0.0,8.645224782,0.0,0.0,0.0,0
10,0.0,0.0,8.645116755,0.0,0.0,0.0,0
11,0.0,0.0,8.642497105,0.0,0.0,0.0,0
12,0.0,0.0,8.645062742,0.0,0.0,0.0,0
13,0.0,0.0,8.650085989,0.0,0.0,0.0,0
14,0.0,0.0,8.642848192,0.0,0.0,0.0,0
15,0.0,0.0,8.646764164,0.0,0.0,0.0,0
16,0.0,0.0,8.642578125,0.0,0.0,0.0,0
17,0.0,0.0,8.64835756,0.0,0.0,0.0,0
18,0.0,0.0,8.646818178,0.0,0.0,0.0,0
19,0.0,0.0,8.647142258,0.0,0.0,0.0,0
20,0.0,0.0,4.864177873,0.239880792,191.299569,28.05586283,0
21,0.0,0.0,9.775212381,1.53837977,1302.035398,502.8454093,0
22,0.0,0.0,14.4680057,1.857093473,1748.571903,2199.895879,0
23,0.0,0.0,13.66936338,1.66595513,1636.307522,3902.091261,0
24,0.0,0.0,12.22782641,1.354068722,1475.297566,5650.745575,0
25,0.0,0.0,11.76009727,1.240804757,1386.003319,6896.563883,0
26,0.0,0.0,11.53043224,1.166145257,1377.899336,8109.698285,0
27,0.0,0.0,12.13100737,1.13982128,1335.886062,9223.547152,0
28,0.0,0.0,15.38831323,1.191734652,1215.824115,10393.04038,0
29,0.0,0.0,24.1406196,1.572256983,1241.472345,11648.52019,0
30,0.0,0.0,24.91276834,1.448622442,1275.865044,13189.13136,0
31,0.349211836,0.0,24.88519449,1.494555448,1296.586283,14536.18128,0
32,4.707065819,0.0,23.15506387,1.307357923,1223.80531,16068.72207,0
33,7.030143805,0.0,21.15178741,1.157719165,1209.575221,17205.16164,0
34,7.955613938,6.1638216,10.85990973,0.568713703,1272.698009,18314.82011,0
35,8.695035951,15.23856104,13.75216594,1.185434527,1466.433628,18920.93473,0
36,11.00076051,15.56455899,16.65649414,1.490260301,1748.755531,20237.47884,0
37,12.77876106,14.63793189,18.67962052,1.659620437,1883.30531,21614.91911,0
38,13.57252489,12.49003453,16.65136287,1.537178512,1918.920354,23417.48797,0
39,13.6171875,12.25399591,15.59367222,1.389726217,1887.639381,24893.95561,0
40,13.3431969,12.54186039,14.17509096,1.281224074,1850.175885,26188.34845,0
41,13.27668695,14.90529828,15.43444068,1.458180655,1870.900442,27605.09831,0
42,13.35287611,15.05405122,15.72063075,1.471377212,1876.556416,28984.80241,0
43,13.42699115,14.8775624,15.59861445,1.46295112,1884.309735,30583.38122,0
44,13.47856748,8.371160727,13.55933805,1.198268114,1841.982301,31921.46585,0
45,12.39926715,0.0,8.082215976,0.439902517,1570.42146,33029.38772,0
46,9.748064159,0.0,7.354763335,0.676757813,1243.970133,33460.4122,0
47,6.654867257,0.0,7.635444033,0.787066164,1055.859513,34200.82937,0
48,4.634679204,0.0,8.261621526,0.861889864,974.9026549,34978.69856,0
49,1.531664823,0.0,8.867652015,0.826050885,939.5674779,35819.33393,0
50,0.026548673,0.0,8.38728373,0.725784707,942.1969027,36562.46045,0
51,0.0,0.0,7.154589628,0.601329162,899.7909292,37271.10509,0
52,0.0,0.0,6.518905775,0.541127973,975.2422566,37842.12016,0
53,0.0,0.0,6.391218067,0.527724004,981.7256637,38370.88178,0
54,0.0,0.0,6.412094251,0.531569759,986.4712389,38865.62168,0
55,0.0,0.0,6.386248833,0.51695589,983.9977876,39407.42658,0
56,0.0,0.0,6.407233044,0.537964947,986.9634956,39873.28789,0
57,0.0,0.0,6.436319267,0.539373617,982.7168142,40438.22995,0
58,0.0,0.0,6.467485006,0.549338012,1001.964602,40950.65998,0
59,0.0,0.0,6.47245424,0.553728222,998.3783186,41481.37237,0
60,0.0,0.0,6.462272712,0.549156527,1007.969027,42008.47027,0
60,0.0,0.0,6.490062612,0.56652724,1005.738938,42562.09859,0
61,0.0,0.0,6.499785027,0.547168833,999.6603982,43108.04466,0
62,0.0,0.0,6.498623738,0.568463081,1006.02323,43643.05227,0
63,0.0,0.0,6.507887039,0.555093681,1001.933628,44204.56333,0
