time_bucket,time,trs_mt_gr_st\CCP:1,fmsp_af_sp\CCP:1,sys_veh_spd\CCP:1,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,tq_imep_ref\CCP:1,sys_pps_pct\CCP:1,tq_clch_torq\CCP:1,hw_bat_vlt\CCP:1,afm_stk_flw\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_eng_spd\CCP:1,sys_trip_fc\CCP:1,sys_iat\CCP:1,knck_ron_fac\CCP:1,sys_ect\CCP:1,time_to_heat
10.0,10.03903267,0,7.44140625,0.0,76.203125,65.75927734,662.0625,0.0,66.5625,10.75878906,0.342926025,8.947753906,2.119140625,1097.5,0.0,29.2109375,1,28.4765625,305.7399776
11.0,11.00602796,0,10.37451172,0.0,43.6171875,35.62011719,384.875,0.0,1.75,13.02587891,0.185791016,9.417724609,0.834960938,1141.625,1235.5625,28.828125,1,28.4765625,
12.0,12.00177254,0,10.38183594,0.0,54.3359375,44.12841797,474.5625,0.0,21.6875,13.07470703,0.230133057,7.91015625,0.875,906.25,1877.765625,28.78125,1,28.4765625,
13.0,13.00008672,0,10.80957031,0.0,52.61328125,42.41943359,464.125,0.0,23.25,13.38720703,0.221191406,7.51953125,0.73046875,895.0,3134.9375,28.8125,1,28.4765625,
14.0,14.00744585,0,11.01660156,0.0,56.15625,44.31152344,485.1875,0.0,29.5,13.52001953,0.233734131,7.815551758,0.798828125,873.125,3666.703125,28.8359375,1,28.4765625,
15.0,15.00763499,0,11.34277344,0.0,54.4375,43.62792969,482.1875,0.0,31.75,13.66992188,0.227539063,7.91015625,0.694335938,857.625,4695.046875,28.8359375,1,28.4765625,
16.0,16.00313414,0,11.48193359,0.0,58.546875,47.30224609,526.4375,0.0,23.9375,13.79785156,0.244537354,8.56628418,0.857421875,902.625,5183.109375,28.8125,1,28.453125,
17.0,17.00665251,0,11.70703125,0.0,57.9453125,46.94824219,523.0,0.0,25.875,13.90869141,0.24432373,8.752441406,0.780273438,891.5,6271.046875,28.8125,1,28.453125,
18.0,18.00710076,0,11.95996094,0.0,56.48046875,45.34912109,507.6875,0.0,22.1875,14.01220703,0.23651123,8.551025391,0.70703125,920.375,6798.3125,28.8828125,1,28.453125,
19.0,19.00557894,0,12.11474609,0.0,55.8828125,45.99609375,514.9375,0.0,28.5625,14.05419922,0.239868164,8.831787109,0.717773438,924.5,7312.0625,28.890625,1,28.453125,
20.0,20.00670881,0,12.28417969,0.0,55.53515625,44.59228516,498.25,0.0,28.9375,14.05273438,0.232543945,8.322143555,0.6796875,895.375,8234.234375,28.921875,1,28.46875,
21.0,21.00579911,0,12.4375,0.0,54.6953125,43.90869141,493.5625,5.700683594,28.6875,14.07470703,0.229003906,9.124755859,0.671875,920.375,8716.0,28.9140625,1,28.46875,
22.0,22.00103951,0,12.54150391,1.125,57.83203125,45.94726563,522.8125,16.80908203,39.6875,14.04638672,0.239593506,9.005737305,0.806640625,967.625,9732.84375,28.9765625,1,28.46875,
23.0,23.00830841,1,12.02734375,4.296875,71.1640625,60.02197266,661.1875,23.5748291,61.0625,13.83691406,0.312988281,12.20703125,1.288085938,814.875,10267.15625,29.0078125,1,28.5,
24.0,24.00662669,1,12.56298828,8.09375,65.78125,53.95507813,614.125,26.19628906,52.875,14.10253906,0.28137207,11.45019531,0.95703125,1015.75,11707.17188,29.171875,1,28.5,
25.0,25.00476491,1,12.72314453,11.4609375,65.1484375,53.75976563,630.1875,30.25512695,56.125,14.15087891,0.279510498,13.95568848,1.224609375,1369.125,12426.3125,29.1953125,1,28.5,
