time_bucket,time,time_to_heat,sys_ect\CCP:1,sys_veh_spd\CCP:1,fmsp_af_sp\CCP:1,sys_bst_t\CCP:1,hw_bat_vlt\CCP:1,sys_map\CCP:1,afm_stk_flw\CCP:1,tq_imep_ref\CCP:1,afm_stk_flw_pct\CCP:1,sys_bst_p\CCP:1,tq_clch_torq\CCP:1,sys_pps_pct\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_eng_spd\CCP:1,sys_trip_fc\CCP:1,knck_ron_fac\CCP:1,sys_iat\CCP:1
20.0,20.32390143,846.6119645,24.046875,0.0,9.0546875,25.0546875,11.89501953,57.046875,0.231109619,539.1875,47.31445313,87.3828125,36.5625,0.0,7.238769531,1.250976563,1025.25,126.8125,1,25.03125
21.0,21.00665371,,24.0546875,0.0,9.841796875,25.046875,12.49951172,56.4765625,0.23336792,592.1875,47.66845703,86.44140625,-17.0,0.0,14.38598633,1.897460938,1956.75,780.53125,1,25.03125
22.0,22.00659705,,24.0625,0.0,10.46875,24.8359375,13.52148438,63.36328125,0.258911133,631.5,53.01513672,87.38671875,-5.25,0.0,14.68505859,1.78515625,1662.25,3101.3125,1,24.8984375
23.0,23.00508039,,24.0703125,0.0,10.97607422,24.6640625,13.31494141,61.0703125,0.256561279,650.0,52.49023438,87.7734375,-2.1875,0.0,13.07678223,1.462890625,1560.5,5310.84375,1,24.8984375
24.0,24.00346763,,24.0703125,0.0,11.54394531,24.5234375,13.42285156,60.875,0.251342773,652.6875,51.57470703,87.63671875,6.875,0.0,11.81030273,1.267578125,1414.875,6164.375,1,24.8984375
25.0,25.0003203,,24.1328125,0.0,11.91210938,24.4375,13.43066406,61.5390625,0.248809814,651.9375,50.93994141,87.40625,7.75,0.0,11.78588867,1.189453125,1385.625,7737.5,1,24.515625
26.0,26.00049284,,24.1640625,0.0,12.58398438,24.390625,13.37451172,60.078125,0.243865967,644.75,49.92675781,87.4140625,11.375,0.0,11.40441895,1.07421875,1378.875,8516.359375,1,24.515625
27.0,27.00435682,,24.2265625,0.0,13.12548828,24.3125,13.43212891,64.65234375,0.260925293,688.0,53.43017578,87.43359375,20.375,0.0,12.35351563,1.120117188,1326.125,10035.54688,1,24.515625
28.0,28.00464713,,24.3046875,0.0,13.30029297,24.234375,13.36376953,83.3203125,0.321746826,837.8125,65.88134766,87.26953125,64.4375,0.0,22.90649414,1.486328125,1114.125,10797.75,1,24.265625
29.0,29.00595748,,24.40625,0.0,13.60302734,24.1875,13.41210938,85.04296875,0.341430664,882.125,69.90966797,88.26171875,60.25,0.0,24.81994629,1.439453125,1254.375,12764.0,1,24.265625
