Speed,Actual,Predicted,Predicted_Diff,Actual_Diff
22,143.60899999999674,585.6668,96.29799999999994,143.60899999999674
22,398.8440000000119,1090.1451,504.4783,255.23500000001513
24,1924.8120000000051,2618.8257,1528.6806,1525.9679999999933
29,4387.0,5185.3066,2566.4809,2462.1879999999946
30,5238.2970000000205,6188.4546,1003.1480000000001,851.2970000000205
30,5711.062000000005,6845.3457,656.8910999999998,472.76499999998487
30,6517.812000000005,7730.435,885.0893000000005,806.75
32,7411.54700000002,9142.553,1412.1179999999995,893.7350000000142
33,8412.437000000005,10523.906,1381.353000000001,1000.8899999999858
36,10828.483999999997,12541.683,2017.777,2416.0469999999914
38,12238.719000000012,14472.664,1930.9809999999998,1410.2350000000151
40,13698.391000000003,16132.1045,1659.4404999999988,1459.6719999999914
39,14260.312000000004,16876.674,744.5694999999996,561.9210000000003
37,14304.344000000012,17269.834,393.15999999999985,44.03200000000834
35,14304.344000000012,17624.232,354.39800000000105,0.0
34,14304.344000000012,18059.824,435.59200000000055,0.0
32,14547.04700000002,18450.24,390.4160000000011,242.70300000000861
31,15023.858999999997,18913.676,463.4359999999979,476.81199999997625
30,15189.703000000009,19397.617,483.9409999999989,165.84400000001187
29,15663.531000000015,20063.781,666.1640000000007,473.8280000000068
31,17063.062000000005,21415.016,1351.2350000000006,1399.53099999999
31,17500.687000000005,22265.387,850.3709999999992,437.625
30,18233.76500000001,22843.494,578.107,733.078000000005
31,19063.734,23921.695,1078.201000000001,829.96899999999
32,19943.875,25136.748,1215.0529999999999,880.1409999999996
33,20956.0,26275.094,1138.3460000000014,1012.125
34,21839.891000000003,27444.559,1169.4650000000001,883.8910000000033
35,23120.312000000005,28713.516,1268.9569999999985,1280.421000000002
36,24279.76500000001,29762.494,1048.9779999999992,1159.453000000005
34,24361.59400000001,30266.744,504.25,81.8289999999979
33,24361.59400000001,30724.385,457.6409999999996,0.0
32,24728.25,31229.857,505.4720000000016,366.65599999999176
31,25021.531000000017,31705.9,476.0430000000015,293.28100000001723
30,25550.484,32343.07,637.1699999999983,528.9529999999831
32,26739.42200000002,33753.65,1410.5800000000017,1188.93800000002
34,27925.281000000017,35322.93,1569.2799999999988,1185.8589999999967
35,29205.0,36587.234,1264.3039999999964,1279.7189999999828
37,30854.95300000001,37975.246,1388.0120000000024,1649.9530000000086
36,31218.641000000003,38602.977,627.7309999999998,363.68799999999464
35,31631.234,38926.05,323.07300000000396,412.5929999999971
33,31666.359,39065.926,139.87599999999657,35.125
31,31666.359,39146.242,80.3159999999989,0.0
29,31666.359,39259.105,112.86300000000483,0.0
27,31666.359,39394.137,135.03199999999924,0.0
26,31666.359,39501.914,107.77699999999459,0.0
23,31783.906000000017,39527.32,25.406000000002678,117.54700000001685
18,32174.34400000001,39634.84,107.5199999999968,390.437999999991
18,32491.531000000017,40076.01,441.17000000000553,317.187000000009
18,33106.234,40624.63,548.6199999999953,614.7029999999795
20,34116.59400000001,41582.01,957.3800000000047,1010.3600000000151
