Speed,Actual,Predicted
42,0.0,453.05264
43,985.75,1577.926
43,1444.75,2307.913
42,2086.5,2850.081
43,3092.25,4193.2983
45,4747.0,6353.57
47,6178.5,8406.265
49,8081.25,10273.056
51,10043.5,12350.475
53,11790.0,14392.111
54,13082.75,15639.236
54,14250.5,16662.05
55,15610.75,18167.36
56,17162.25,19611.775
56,18567.75,20707.098
58,21153.5,23202.7
64,27208.5,28268.336
67,32279.5,33577.797
69,34370.0,36246.312
68,35262.0,36531.05
67,35791.0,36827.242
67,36457.5,37404.33
66,37036.75,37999.027
66,37804.75,38926.36
67,40110.0,41163.887
71,45018.0,45825.07
74,51916.5,52156.062
78,60014.25,60136.64
82,68994.25,68809.38
85,76767.25,76140.62
87,78785.0,80547.71
89,83037.0,85421.72
92,88258.5,92157.76
93,92989.0,95192.32
91,93656.25,95653.05
90,94386.0,96223.266
89,95132.25,96704.93
87,95472.0,97052.89
86,96035.0,97551.8
85,96866.0,98561.41
86,100650.5,101159.45
87,104172.75,104861.21
88,106854.0,107498.67
86,107406.0,107912.414
83,107406.0,107938.62
77,107499.75,107899.734
69,108278.0,108145.89
64,108708.25,108379.74
62,109148.75,108619.72
56,109510.75,108849.04
52,109707.5,109094.93
44,109938.0,109405.695
35,110198.0,109721.1
28,110410.25,110040.84
20,110658.0,110374.37
12,110938.5,110701.36
6,111145.5,111017.29
0,111364.75,111298.98
0,111562.5,111625.95
0,111772.0,111956.02
0,112035.25,112287.98
0,112492.5,112651.92
0,112752.75,112986.82
0,113238.5,113479.44
0,114175.5,114406.7
3,115014.75,115537.82
6,115876.25,116834.51
10,117216.5,118459.54
13,118201.25,119734.555
13,118818.25,120471.29
13,119441.5,121106.516
13,120008.25,121824.22
15,120906.25,122877.32
16,121996.5,123884.72
17,122763.0,124832.87
17,123536.0,125516.68
16,123888.5,125811.42
15,124241.25,126101.5
14,124587.5,126406.83
12,125099.0,126721.28
11,125426.0,127030.555
11,125764.5,127357.88
10,126408.25,127847.63
11,127638.25,128846.93
14,129378.5,130505.21
17,130664.75,131706.8
18,131512.0,132620.31
19,132570.25,133622.16
20,133813.5,134732.0
21,134894.25,135885.08
22,136141.75,137084.56
23,137548.0,138326.02
24,138750.5,139616.08
25,140167.75,140980.56
26,141539.25,142292.12
26,142674.0,143548.44
28,144038.5,145331.39
30,146070.75,147511.34
32,147638.75,149706.03
32,148380.0,150712.67
30,148380.0,150872.94
29,148497.25,150985.39
27,148806.0,151114.98
26,149102.0,151451.12
27,151416.0,153821.23
30,155135.25,156873.92
31,156828.5,158122.45
27,156911.5,158122.44
26,157402.0,158390.7
25,157874.75,158679.55
24,158233.0,159161.72
25,159204.75,160270.22
27,160653.0,161585.58
25,161093.75,161925.89
24,161323.5,162056.84
23,162034.0,162400.92
22,162394.0,162757.69
22,163176.5,163407.34
23,164390.75,164430.36
23,165003.25,164977.39
21,165223.5,165210.28
17,165950.25,165563.25
16,166307.5,165922.27
13,166695.5,166260.22
12,167083.75,166621.34
7,167377.75,166988.25
0,167693.25,167329.17
0,167965.75,167634.5
0,168298.0,168041.84
0,168576.0,168362.83
0,168917.0,168712.55
0,169197.25,169084.39
0,169525.5,169467.38
0,169898.0,169851.08
0,170181.5,170241.31
0,170503.5,170646.28
0,170837.75,171046.8
0,171385.5,171793.95
3,173446.0,173508.05
9,174599.0,174919.8
12,175551.25,176064.72
18,177472.0,178195.14
23,179780.25,180558.92
23,180297.5,181228.0
22,180869.75,181732.73
23,182079.75,182677.0
26,183515.5,184428.08
31,186332.5,186737.67
31,187335.0,187639.77
30,187760.25,188144.16
29,188345.75,188616.34
28,188902.0,189123.77
28,189374.75,189673.2
27,189618.25,190072.27
24,189632.25,190358.48
23,189632.25,190685.62
21,189632.25,190937.75
18,189794.25,191142.11
17,190108.0,191487.45
16,190417.75,191829.55
15,190817.0,192078.9
14,191109.5,192382.64
14,192887.25,193636.12
16,196831.75,195643.34
16,197547.5,196490.27
16,198388.5,197077.64
15,198885.75,197502.89
16,199437.0,198137.9
18,200792.0,199260.11
22,202373.25,200854.16
23,202977.5,201704.88
22,203406.0,202185.39
21,203799.25,202618.47
20,204174.25,203072.77
20,204723.25,203576.23
20,205323.5,204118.47
21,206207.5,204995.22
25,208060.0,206785.31
28,209563.5,208344.98
29,210447.75,209253.47
29,211296.25,209842.7
27,211460.75,210247.02
25,211460.75,210506.34
21,211791.75,210806.17
14,212388.5,211185.97
9,212746.25,211538.7
8,213112.0,211874.7
7,213480.75,212187.11
6,213792.0,212493.27
5,214119.0,212799.2
5,214474.25,213138.97
4,214766.75,213457.38
4,215092.75,213794.9
4,215514.0,214171.64
5,216506.75,215149.61
3,216904.0,215505.75
0,217320.25,215767.36
0,217601.0,216053.39
0,218002.0,216565.92
0,218489.25,217146.28
0,218868.5,217392.75
0,219248.25,217778.2
0,219599.5,218144.25
0,219899.25,218474.45
0,220281.5,218941.8
0,221389.0,219733.4
0,222314.25,220467.3
0,223241.5,221142.62
3,223918.0,221851.72
6,225008.5,223166.8
11,227546.25,225704.16
16,229169.25,227108.08
17,230065.5,228049.17
18,231100.25,229138.36
20,232278.5,230428.08
21,233507.25,231775.73
24,234991.25,233566.06
25,236125.5,234753.16
24,236289.0,235190.34
24,236841.5,235850.77
25,237671.75,236735.17
26,238243.25,237580.11
26,238753.25,238216.25
25,239119.25,238657.5
23,239222.0,238955.11
20,239327.25,239070.58
19,239965.0,239419.05
18,240362.25,239727.38
17,240797.0,240108.9
17,241450.5,240555.5
18,242109.25,241177.8
19,242945.75,241847.95
18,243578.5,242324.67
18,244014.0,242754.83
17,244408.5,243104.56
16,244987.25,243589.98
16,245563.5,243968.75
15,245970.25,244329.97
15,246307.75,244682.97
14,246572.25,244966.2
13,246963.5,245362.83
12,247395.0,245771.73
12,248051.75,246370.9
13,249110.0,247307.19
16,250665.0,248270.44
17,251084.75,248882.64
16,251451.5,249276.47
15,251840.75,249638.33
12,252144.0,249939.06
9,252422.25,250242.1
7,252914.0,250610.08
6,253243.5,250972.64
7,253850.0,251459.7
10,255046.5,252399.27
13,255984.5,253487.17
17,257211.25,254867.92
19,258210.75,255743.34
18,258485.25,256191.62
18,259070.25,256776.12
21,260518.5,258092.38
24,262326.25,259629.48
25,263095.0,260404.12
21,263253.75,260694.44
20,263528.25,261030.36
18,264001.5,261406.11
16,264453.5,261725.84
14,264796.5,262002.83
13,265143.0,262290.84
12,265495.25,262612.3
13,266824.25,263582.56
17,269145.5,265371.6
19,272197.25,267290.5
18,272532.75,267784.3
11,272865.0,268071.78
9,273356.75,268434.72
9,273723.25,268862.28
8,274079.75,269196.25
9,274537.75,269586.72
11,275835.5,270474.12
12,277824.0,271650.38
11,278430.75,272064.56
12,279046.75,272419.16
12,280100.5,273040.62
12,280779.75,273551.62
13,281497.0,274052.7
15,283283.5,275577.4
18,285557.5,276897.3
22,287508.5,278090.7
27,290357.75,280025.28
34,295089.5,282928.72
38,296772.5,284881.0
39,298102.0,286000.4
40,299350.5,287171.22
41,300586.75,288933.66
47,304590.75,292667.97
48,307498.0,294732.94
47,307630.5,295275.06
48,309448.5,296666.66
51,313357.0,299910.62
54,317866.75,303672.34
56,320028.0,306231.7
57,321683.5,308272.34
58,322920.75,310113.84
57,323959.75,311081.12
56,324860.0,311845.72
55,325470.0,312594.7
54,326319.5,313358.7
54,327474.5,314672.4
56,330015.75,317322.84
59,333621.0,320777.7
60,335016.0,322670.06
61,336798.5,324204.66
61,338341.5,325659.94
62,339955.25,327300.97
62,341354.25,328792.8
63,343242.0,330473.22
63,344662.0,331941.56
63,345795.0,333026.7
62,346085.25,333550.38
63,347232.75,334902.03
64,349426.25,337027.34
66,351073.5,339333.8
66,351952.0,340376.7
66,353243.25,341606.16
68,354919.75,343490.25
67,355660.25,344333.66
67,356369.5,345076.16
67,357363.0,346143.4
68,359022.5,347840.1
69,360914.75,349656.97
70,363659.0,351620.8
72,367171.25,354459.7
74,369754.75,358008.06
77,375057.75,363447.7
81,383242.5,371033.97
84,391078.5,377925.78
86,395565.75,381959.22
86,396690.25,382982.34
84,396726.75,383255.25
82,396726.75,383444.47
80,396726.75,383846.25
80,397576.25,384768.75
78,397731.75,385278.56
76,397731.75,385517.3
74,397731.75,385740.03
73,398305.5,386135.56
72,399120.25,386753.97
72,400062.25,387742.62
72,401808.75,389005.62
73,404249.0,391199.16
75,406496.25,394607.97
76,408981.0,396658.84
75,410234.0,397252.62
74,410426.0,397625.6
72,410426.0,397908.4
71,410974.5,398265.44
70,411568.25,398591.06
68,411742.25,398892.94
68,413501.25,399886.0
69,415484.25,401740.4
69,416145.75,402786.38
68,416962.5,403360.16
68,417929.5,404228.34
68,418695.75,405071.06
67,419555.25,405802.56
68,421239.5,407142.53
68,421912.25,408046.88
67,422227.0,408540.47
67,423186.0,409390.7
68,425809.75,411292.9
70,429944.25,413835.44
70,430928.75,414804.12
70,431941.5,415711.53
71,433924.5,417335.1
72,436755.0,419554.12
74,439928.5,422328.25
75,441358.0,424042.4
75,442742.0,425322.72
76,444760.0,426956.4
76,445590.75,427954.28
74,445766.0,428443.12
74,446340.0,429203.8
74,447668.0,430660.47
76,450364.0,433631.7
77,452478.0,436283.97
77,452867.25,437264.75
75,452867.25,437600.28
73,452867.25,438049.62
73,453412.0,439320.2
75,454980.25,441939.22
75,455323.5,444021.9
77,457472.5,447793.72
81,462296.75,454423.97
81,463988.25,456584.97
77,464034.0,456574.28
75,464034.0,456663.75
72,464034.0,456819.5
71,464034.0,457181.2
70,464172.25,457847.16
70,464727.0,459061.8
71,466518.25,460091.94
73,469641.25,462300.6
75,471900.75,465736.2
78,476835.0,469946.4
78,478367.5,471564.78
80,481492.5,474730.25
83,486640.5,479818.9
83,487843.5,481719.88
82,488013.5,482131.6
77,488013.5,482286.6
72,488013.5,482502.16
67,488013.5,482782.38
59,488013.5,483092.0
53,488013.5,483333.1
45,488347.0,483585.7
35,488912.75,483927.56
34,489329.25,484302.9
33,489757.25,484658.8
31,490141.5,484928.06
29,490412.25,485163.5
28,490754.0,485657.97
29,492912.75,487275.25
29,494333.0,488363.2
29,494734.75,489096.7
31,496211.5,490854.94
35,498363.25,493669.38
36,499225.25,495101.84
34,499319.75,495525.0
31,499331.0,495635.72
30,499602.0,495906.62
29,499963.25,496215.2
28,500233.25,496554.94
26,500542.5,496882.16
24,501062.25,497224.84
23,501526.5,497621.72
13,501890.5,497957.16
4,502310.25,498282.0
0,502633.5,498544.12
0,503206.5,499099.8
0,504191.25,499827.72
4,505021.25,500979.38
3,505476.25,501347.9
4,506156.5,501807.5
8,507781.0,503665.44
11,509440.25,505171.47
12,510086.75,505711.62
11,510529.25,506189.47
13,511395.75,507330.28
19,513808.25,509803.78
25,516190.5,512718.56
24,516520.0,513118.6
22,517212.0,513697.7
23,519472.5,515777.94
27,521943.25,518231.3
26,522146.75,518607.06
25,522490.5,518908.9
25,522959.75,519373.9
25,524271.75,520422.84
27,525918.75,521662.78
28,526898.75,522544.44
27,527287.75,522789.0
26,527655.75,523071.2
23,528184.0,523387.84
16,528612.5,523693.94
13,528956.0,524007.8
12,529315.75,524308.8
11,529686.25,524588.4
11,530528.75,525150.9
10,531059.25,525582.7
8,531575.0,525938.9
5,531950.0,526249.06
4,532293.5,526612.7
6,533711.0,527549.44
6,536758.0,530186.94
13,539071.75,532511.9
23,542630.25,536225.5
24,544612.5,538158.6
23,544645.5,538677.75
22,544645.5,538966.94
21,544901.0,539362.56
20,545201.25,539752.8
18,545484.0,540072.1
14,545835.5,540366.06
11,546241.0,540690.2
10,546616.5,541000.3
8,546942.0,541269.6
7,547276.5,541557.7
6,547708.5,541720.0
6,548970.75,542906.7
7,551005.5,544536.9
12,552744.0,546085.06
15,553785.0,547252.2
17,555070.0,548536.56
21,556897.75,550569.3
24,558764.75,552505.2
27,561235.5,554867.5
33,564676.5,558733.1
36,567643.0,561940.1
39,570640.5,564726.44
37,571144.75,565427.4
36,571692.0,566185.1
35,572683.75,567119.25
35,573982.25,568292.56
35,575263.75,569514.56
35,576754.0,570903.06
37,578696.25,572788.44
37,579957.5,574379.9
38,581240.0,575775.5
36,581748.25,576454.2
34,582304.75,577011.3
34,583140.75,577897.8
33,584146.25,578860.3
34,585272.0,580502.25
37,587554.5,583125.25
38,589509.5,585024.3
38,590643.5,586056.8
35,591303.25,586433.94
31,591325.0,586614.44
28,591325.0,586878.44
27,592294.75,587848.06
31,594856.0,590213.75
30,595710.0,591147.0
29,596582.5,591978.75
31,598326.0,593357.7
29,598825.5,594008.2
28,599715.5,594758.3
30,601285.75,596360.75
30,602340.25,597523.4
30,603315.75,598349.44
29,604241.5,599127.1
30,605459.0,600346.2
30,606514.25,601349.75
29,607432.25,602002.3
28,608148.75,602606.56
27,608888.25,603263.75
27,609876.0,604258.4
29,611824.75,606204.0
33,614829.25,608894.3
34,616364.5,610459.4
37,618700.75,612690.4
38,620472.0,614404.56
38,622010.5,615793.7
39,623666.0,617399.56
39,625076.75,619010.3
41,626770.0,621360.56
43,628792.25,624081.8
45,630920.75,626882.25
46,633381.25,629150.75
45,633875.5,630335.56
46,634984.75,631950.3
48,638140.75,634479.3
48,639418.0,635994.7
47,640018.5,636901.94
47,641480.0,638447.44
49,643800.75,641209.7
50,646065.5,643451.94
50,647121.5,644969.9
51,648385.5,646933.94
52,650605.5,649566.6
55,654292.5,653642.1
57,656691.75,657576.0
59,658998.5,660746.75
59,660589.25,662620.94
59,661602.0,664116.4
58,662540.75,665408.56
58,664260.25,666981.7
58,665093.75,668466.75
57,666132.5,669639.44
57,667219.0,670999.94
57,668242.25,672606.4
58,669743.0,674798.5
60,672513.25,677810.44
62,675175.0,680848.4
63,676780.5,683143.0
64,678561.25,685275.4
64,679836.0,687034.75
64,680624.75,688381.75
64,681272.75,689585.5
65,682527.5,691168.4
65,683515.0,692683.25
66,684608.0,694337.4
66,685278.5,695534.8
65,685335.25,696140.3
63,685335.25,696431.5
61,685335.25,696800.7
61,685965.5,697729.75
61,687601.25,699409.5
63,689712.5,702335.6
64,691105.5,704437.5
63,691523.0,705108.94
62,692184.5,705933.5
63,693918.75,708064.4
65,696993.25,711785.9
67,700617.25,716176.44
69,704933.5,720132.56
70,706883.25,722928.75
71,709800.25,724888.4
70,710221.0,725568.25
68,710746.75,726124.6
69,712748.5,727913.75
69,714445.5,728662.75
70,715662.75,730250.9
71,718135.5,732433.8
72,720161.75,734496.25
72,721867.5,735818.9
73,724237.25,737898.8
75,728321.75,741600.9
78,734209.0,747086.25
81,740741.25,753006.9
84,748902.75,758029.56
